QUEST,STYPE,LANG,QF,Q1,Q2,Q3A,Q3B,Q4A,Q4B,Q4C,Q4D,Q5A,Q5B,Q5C,Q5D,Q5E,Q5F,Q5G,USER,Q6A,Q6B,Q7A,Q7B,Q7C,Q7D,Q7E,Q8A,Q8B,Q9A,Q9B,Q9C,Q9D,Q9E,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20M1,Q20M2,Q20M3,Q21,Q22,Q23,Q24,AGE_COL,REGION,WEIGHT
9681,2,EN,6,2,6,5,4, ,7,7,1,1,1,2,1,1,1,1,1,3, ,6,1,4, ,3,1,1,1,2,1,2,2,2,1,2,2,3,1,1,1958,6,2,1, , ,2,2,2,5,4,3,1.209473778
9684,2,EN,9,1,7,7,6,7, ,5,1,4,4,3,4,4,4,3,1, ,1,7,6,5,7, ,97,97,1,2,97,2,2,1, ,2,3,1,2, ,1974,5,2,1, , ,2,2,2,3,3,4,0.808889158
9740,2,EN,8,2,5,4,4,2, ,4,2,4,2,2,4,4,4,4,1,1, ,7,5,7,7, ,4,4,1,1,1,2,2,2,20,2,2,1,2, ,1969,5,2,1, , ,2,2,2,2,3,4,0.808889158
9748,2,EN,8,2,4,4,5,5, ,4,1,2,2,2,3,2,2,2,1,2, ,4,4,3,5, ,3,3,1,1,1,1,1,2,3,1,2,1,1,26,1956,7,2,1, , ,2,2,2,7,4,4,0.53089607
9766,1,FR,5,2,2,6,6,5, ,6,1,3,4,4,4,4,3,3,1,1, ,6,4,7,3, ,3,3,1,1,1,2,2,2,24,2,4,3,2, ,9999,7,2,2, , ,2,2,2,5,4,2,0.869944987
9935,2,EN,3,2,5,3,3,2, ,2,2,2,3,3,4,3,2,2,1, ,3,7,5,6, ,4,3,2,1,1,2,2,2,2,1,1,2,1,98, ,1973,5,2,1, , ,2,2,2,7,3,1,0.811720275
9984,2,FR,5,3,7,5,6, ,7,5,1,2,2,2,3,3,1,1,1,4, ,5,6,4,1, ,1,2,1,1,1,1,1,2,23,2,4,2,1,27,2003,2,1,2,1,3,2,2,1,4,1,2,1.683323212
10120,2,EN,6,2,6,5,4, ,4,2,1,2,3,4,4,4,2,2,1,1, ,7,7,4,3, ,3,4,1,2,1,1,2,3,1,1,2,3,1,1,1974,5,1,1, , ,2,1, ,6,3,3,1.470244686
10173,2,FR,5,2,5,3,3, ,4,7,1,3,3,4,4,4,2,2,1, ,2,7,6,7, ,7,2,3,1,1,1,1,1,2,20,1,1,1,98, ,1980,4,2,2,1, ,2,2,2,2,3,2,0.853296791
10378,1,EN,7,2,7,4,4, ,1,3,2,2,4,3,4,2,3,2,1, ,5,7,7,7, ,4,4,4,97,97,1,2,2,1, ,1,1,3,2, ,1950,7,1,1, , ,2,2,1,99,4,4,0.520980832
10433,2,EN,5,2,6,4,4,3, ,3,2,2,3,3,4,4,2,2,1, ,3,6,6,6, ,6,3,2,2,2,1,2,2,2,2,98,2,1,2, ,1943,7,2,1, , ,2,2,2,6,4,2,0.869944987
10453,1,EN,6,2,4,3,3,1, ,2,2,3,3,4,4,4,4,3,1,1, ,7,7,7,5, ,4,3,1,2,1,2,2,2,1,1,3,3,2, ,1962,6,1,1, , ,2,2,2,5,4,3,1.191530466
10457,2,FR,5,3,4,4,3,6, ,5,2,2,2,2,3,3,2,2,1,3, ,7,5,6,4, ,3,3,1,1,2,2,1,3,1,2,98,3,2, ,1989,3,2,2, , ,2,2,2,5,2,2,1.578553362
10477,2,FR,5,2,5,5,3,1, ,6,2,4,4,4,4,4,4,4,1, ,3,7,7,7, ,7,1,4,1,1,2,2,1,3,3,2,4,1,2, ,1961,6,2,2, , ,2,2,2,4,4,2,0.869944987
10704,1,EN,1,4,3,3,2,3, ,2,2,2,3,2,3,3,2,2,1,2, ,3,3,1,4, ,3,3,1,2,2,2,2,2,20,1,2,1,2, ,1987,4,1,1, , ,2,2,2,5,3,1,0.47441061
10761,2,FR,5,2,7,7,7,7, ,7,1,1,1,4,4,1,1,1,1, ,1,1,1,7, ,1,4,4,1,1,2,2,1,3,20,2,1,1,1,1,1970,5,1,2,3, ,2,2,2,2,3,2,1.000685055
10811,2,FR,5,1,7,7,7,3, ,7,2,3,3,2,3,2,1,1,1,3, ,5,2,4,3, ,3,2,1,1,2,1,1,2,26,2,1,3,1,1,9999,99,2,2, , ,99,99,99,99,9,2,1
10839,2,FR,5,1,7,7,7,2, ,1,1,3,3,4,4,4,3,3,1, ,1,7,1,1, ,1,4,3,1,2,1,2,2,2,24,2,2,2,2, ,9999,99,2,2, , ,2,2,2,3,9,2,1
10863,2,FR,5,2,7,5,5, ,4,4,2,3,2,99,4,4,3,2,1,4, ,7,2,98,5, ,3,1,2,2,1,1,1,2,1,1,2,3,1,21,1949,7,1,2, , ,2,2,2,3,4,2,0.838231238
11222,2,EN,9,4,7,1,1, ,3,1,2,2,3,2,4,3,1,2,1, ,1,7,7,7,5, ,2,2,1,1,1,2,2,1, ,2,2,1,2, ,1957,7,1,1, , ,1,2,2,1,4,4,0.520980832
11226,1,EN,6,4,7,1,1, ,1,1,2,4,3,3,4,4,2,2,1,1, ,7,7,7,7, ,4,3,97,97,1,2,2,3,22,1,1,2,1,98,9999,7,2,1, , ,1,2,2,5,4,3,1.209473778
11313,2,FR,5,3,1,5,4,5, ,6,1,2,2,2,3,2,1,1,1, ,3,4,3,3, ,4,3,2,1,2,2,1,2,2,88,1,3,2,2, ,2005,1,2,2, , ,2,2,2,4,1,2,1.208742895
11326,2,EN,8,1,7,4,6,2, ,4,1,4,3,4,4,4,3,2,1,2, ,3,2,3, ,5,4,4,2,2,1,1,1,3,24,2,1,3,2, ,1954,7,2,1, , ,2,2,2,6,4,4,0.53089607
11473,2,EN,10,3,6,4,5,1, ,2,2,3,2,4,4,3,2,1,1,2, ,7,7,7,1, ,1,4,2,1,1,1,2,3,1,1,2,3,2, ,1953,7,1,1, , ,2,2,2,4,4,5,0.963680978
11476,1,EN,3,2,5,5,5,5, ,4,2,1,2,2,3,2,1,1,1,2, ,5,1,5,1, ,2,3,2,2,1,2,2,1, ,1,2,3,1,1,1949,7,1,1, , ,2,2,2,6,4,1,0.368967875
11483,2,EN,6,2,5,3,6, ,5,6,1,3,3,3,4,3,2,2,1, ,3,7,5,4, ,2,3,2,1,1,1,1,2,2,25,1,1,1,2, ,1992,3,2,3, , ,2,2,1,6,2,3,1.501658467
11531,2,FR,5,4,7,4,4,7, ,5,2,2,2,2,98,2,2,2,1,2, ,6,6,7,6, ,4,4,97,97,1,2,1,1, ,2,3,1,1,26,1952,7,2,2, , ,2,2,2,3,4,2,0.869944987
11581,2,EN,6,2,6,2,2,5, ,3,2,2,3,2,3,3,1,1,1, ,4,5,6,5,2, ,3,3,1,2,2,2,2,3,20,2,2,1,2, ,1966,6,2,1, , ,2,2,2,5,4,3,1.209473778
11606,2,FR,5,3,7,7,7,7, ,7,1,1,4,2,1,2,2,1,1,2, ,3,1,7,1, ,3,2,1,1,1,1,2,1, ,2,2,3,98, ,1952,7,2,2, , ,1,2,2,99,4,2,0.869944987
11616,2,FR,5,4,5,6,6,6, ,6,1,2,3,3,4,3,1,1,1,2, ,7,7,7,7, ,4,2,1,1,2,1,1,1, ,2,2,1,2, ,1986,4,2,3, , ,2,2,1,7,3,2,0.853296791
11754,2,EN,5,1,7,6,6, ,4,7,1,3,3,3,4,2,2,2,1, ,2,7,7,7, ,7,4,4,1,1,1,2,1,1, ,1,1,1,1,24,9999,3,1,2,1, ,2,2,1,7,2,2,1.923705858
11818,1,EN,6,4,7,3,3, ,3,1,2,2,2,2,3,2,2,2,1, ,2,1,3,1, ,4,3,4,1,2,2,2,2,3,1,2,3,3,2, ,1991,3,2,1, , ,2,2,2,1,2,3,1.501658467
11861,2,FR,5,3,7,4,4, ,6,5,2,2,3,3,3,3,2,2,1,2, ,3,4,5,4, ,4,4,1,1,1,2,2,2,1,1,3,3,2, ,2000,2,1,2, , ,2,2,2,6,1,2,1.683323212
12021,2,EN,10,3,7,3,3, ,3,4,2,2,2,4,3,2,3,2,1, ,3,6,3,7, ,6,4,4,1,2,1,1,2,3,1,1,2,1,2, ,1977,5,2,1, , ,2,2,1,6,3,5,0.743986141
12107,1,FR,5,3,6,5,3,2, ,4,2,2,3,3,3,1,2,4,1,2, ,7,4,7,5, ,3,2,2,1,1,1,2,2,1,1,1,1,2, ,1943,7,2,2, , ,2,2,2,6,4,2,0.869944987
12201,2,EN,5,1,7,5,5, ,4,1,1,3,4,3,4,3,3,2,1,2, ,7,7,7,5, ,4,4,1,1,1,1,1,2,2,1,1,1,2, ,1949,7,1,1,2, ,2,2,1,7,4,2,0.838231238
12348,2,FR,5,2,5,4,2,2, ,5,2,2,3,3,4,4,2,2,1, ,2,6,4,6, ,2,3,4,1,2,2,1,2,3,1,1,3,3,2, ,1996,3,1,2, , ,2,2,2,6,2,2,1.923705858
12362,2,EN,6,3,1,6,7,4, ,6,1,2,3,3,3,3,2,1,1,2, ,4,4,7,1, ,4,3,1,2,2,1,2,2,1,1,3,3,2, ,1948,7,1,1, , ,1,2,2,7,4,3,1.191530466
12452,2,EN,6,2,7,5,6, ,5,5,2,2,3,3,3,3,3,2,1,2, ,4,4,5, ,4,97,97,1,1,1,1,1,2,3,1,1,1,1,2,1987,4,1,3, , ,2,2,1,6,3,3,1.470244686
12592,2,EN,6,1,3,6,5, ,7,4,1,2,4,3,4,3,2,1,1,98, ,7,7,7,1, ,3,2,1,2,1,2,1,2,3,1,1,1,1,98,1963,6,1,1,2, ,1,1, ,6,4,3,1.191530466
12762,1,FR,5,2,6,6,6,6, ,6,2,1,2,2,2,2,1,1,1, ,2,6,6,6, ,6,3,1,2,2,1,2,1,3,24,2,4,1,2, ,1948,7,2,2, , ,2,2,2,1,4,2,0.869944987
12785,1,EN,10,2,5,4,6, ,5,5,1,2,2,3,3,2,2,2,1,1, ,2,2,3, ,2,2,3,1,2,1,2,2,2,26,1,3,3,2, ,1979,4,1,1, , ,1,2,2,6,3,5,1.068919838
12789,2,EN,6,2,7,4,4,6, ,6,2,1,2,2,2,2,1,1,1, ,2,6,5,7,5, ,4,4,2,2,2,2,2,2,1,1,1,3,2, ,1950,7,2,1, , ,2,2,2,3,4,3,1.209473778
12934,2,FR,5,1,7,5,7, ,2,3,1,4,4,4,3,4,3,3,1,2, ,7,7,7,7, ,4,3,1,1,1,1,1,1, ,1,1,1,2, ,9999,5,2,2, , ,2,2,2,4,3,2,0.853296791
12943,2,EN,6,4,7,2,5, ,1,7,2,3,4,4,4,4,4,4,1,1, ,7,7,7,5, ,4,1,1,97,1,1,1,2,22,2,4,1,1,2,1976,5,1,3, , ,2,2,1,3,3,3,1.470244686
13001,2,FR,5,2,7,5,4, ,1,7,2,2,3,2,4,3,2,2,1, ,1,7,7,7, ,6,4,3,1,1,1,2,1,2,1,2,4,1,2, ,2001,2,1,3, , ,2,2,1,4,1,2,1.683323212
13208,1,FR,5,2,7,6,6,2, ,2,1,2,2,3,4,1,2,2,1, ,4,7,7,7, ,4,1,1,1,1,1,1,1,1, ,1,2,3,2, ,1966,6,2,2, , ,2,2,2,6,4,2,0.869944987
13274,2,FR,5,2,5,5,5, ,6,6,1,2,4,4,4,4,1,1,1, ,1,7,5,5, ,1,4,2,2,1,1,2,2,2,23,1,1,1,2, ,1968,5,2,2, , ,2,2,1,7,3,2,0.853296791
13349,1,EN,3,2,7,5,5, ,5,5,2,2,3,3,3,3,2,2,1, ,3,5,2,2, ,5,3,4,2,2,2,2,2,3,3,2,4,1,2, ,1941,7,2,1, , ,2,2,2,2,4,1,0.378719786
13404,2,EN,6,3,2,1,1, ,5,1,2,2,3,2,4,3,3,2,1,3, ,1,5,2,3, ,4,98,2,2,1,2,2,2,3,2,3,3,2, ,2000,2,2,1, , ,2,2,2,5,1,3,2.354045809
13524,2,EN,10,2,5,7,7,2, ,2,1,2,2,3,4,2,1,2,1,2, ,7,6,6,5, ,2,3,1,1,1,1,1,2,20,1,2,3,1,1,1968,5,99,1, , ,1,2,1,6,3,5,1
13659,2,EN,9,1,7,3,3,7, ,3,2,2,3,4,4,4,1,1,1,1, ,7,7,7, ,1,98,3,97,97,1,1,2,3,1,2,1,3,2, ,1962,6,1,1, , ,2,2,1,5,4,4,0.520980832
13665,2,FR,5,3,4,3,2, ,1,3,2,2,3,3,4,4,2,2,1, ,3,6,3,6, ,4,1,2,1,2,1,1,1,2,1,2,2,3,2, ,1998,2,2,2, , ,2,2,2,2,1,2,1.208742895
13816,2,EN,6,1,7,6,3, ,5,3,2,2,3,3,3,3,2,2,1, ,3,7,5,7, ,6,2,2,1,1,1,2,1,2,1,2,1,3,2, ,1975,5,2,1, , ,2,2,1,5,3,3,1.312715615
13966,2,EN,6,2,4,3,4, ,6,3,1,1,2,2,3,2,1,1,1,2, ,6,4,5,2, ,1,3,1,1,1,2,2,2,23,2,2,3,2, ,1977,5,1,1, , ,2,2,2,4,3,3,1.470244686
14094,2,EN,9,3,5,4,5, ,6,5,2,2,2,3,3,1,2,1,1,2, ,2,5,5, ,2,1,2,1,1,1,2,1,2,2,1,3,1,2, ,2000,2,2,1, , ,1,2,2,5,1,4,1.058896163
14157,1,EN,10,2,6,5,4, ,6,6,1,3,3,2,3,2,2,2,1,1, ,1,2,4,2, ,2,3,2,2,2,2,2,3,23,1,3,3,2, ,2003,2,2,1, , ,2,2,2,2,1,5,0.94090553
